bookId,title,series,author,genres,characters,pages,publisher,firstPublishDate,awards
1.Harry_Potter_and_the_Half_Blood_Prince,Harry Potter and the Half-Blood Prince,Harry Potter,J.K. Rowling,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook', 'Middle Grade', 'Classics', 'Science Fiction Fantasy']","['Draco Malfoy', 'Ron Weasley', 'Petunia Dursley', 'Vernon Dursley', 'Dudley Dursley', 'Severus Snape', 'Lord Voldemort', 'Neville Longbottom', 'Fred Weasley', 'George Weasley', 'Ginny Weasley', 'Arthur Weasley', 'Molly Weasley', 'Cornelius Fudge', 'Peter Pettigrew', 'Fleur Delacour', 'Bellatrix Lestrange', 'Bill Weasley', 'Luna Lovegood', 'Nymphadora Tonks', 'Kreacher', 'Narcissa Malfoy', 'Horace Slughorn', 'Albus Dumbledore', 'Harry Potter', 'Hermione Granger', 'Madam Malkin', 'Romilda Vane']",652,Scholastic Inc.,07/16/05,"['Locus Award Nominee for Best Young Adult Novel (2006)', 'Audie Award for Audiobook of the Year (2006)', 'British Book of the Year (2006)']"
2187.Middlesex,Middlesex,nan,Jeffrey Eugenides,"['Fiction', 'Historical Fiction', 'Contemporary', 'LGBT', 'Literary Fiction', 'Novels', 'Classics', 'Literature', 'Queer', 'Adult']","['Calliope Stephanides', 'Eleutherios Stephanides', 'Desdemona Stephanides', 'Sourmelina Zizmo', 'Miltiades Stephanides', 'Theodora Stephanides', 'Chapter Eleven', 'The Obscure Object', 'James Zizmo', 'Michael Antoniou']",529,Picador USA,09/04/02,"['Pulitzer Prize for Fiction (2003)', 'James Tait Black Memorial Prize Nominee for Fiction (2003)', 'Ambassador Book Award for Fiction (2003)', 'Audie Award for Fiction, Unabridged (2003)', 'National Book Critics Circle Award Nominee for Fiction (2002)']"
49552.The_Stranger,The Stranger,nan,Albert Camus,"['Classics', 'Fiction', 'Philosophy', 'France', 'Literature', 'Novels', 'French Literature', 'School', '20th Century', 'Literary Fiction']","['Meursault', 'Raymond Sintès', 'Marie Cardona', 'Salamano']",123,Vintage International,10/28/42,['PEN Translation Prize for Matthew Ward (1989)']
186074.The_Name_of_the_Wind,The Name of the Wind,The Kingkiller Chronicle,Patrick Rothfuss,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Magic', 'Science Fiction Fantasy', 'Adult', 'Adventure', 'Audiobook', 'Epic']","['Bast', 'Denna', 'Ambrose', 'Kvothe', 'Simmon', 'Wilem', 'The Chandrian', 'Devi', 'Auri', 'Fela', 'Chronicler']",662,Penguin Group DAW,03/27/07,"['Locus Award Nominee for Best First Novel and Best Fantasy Novel (2008)', 'Compton Crook Award Nominee (2008)', ""Grand Prix de l'Imaginaire Nominee for Roman étranger and Traduction (2010)"", 'ALA Alex Award (2008)', 'The Quill Award for Science Fiction/Fantasy/Horror (2007)', 'Sakura Medal for High School Book (2009)', 'Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2010)', 'Tähtifantasia Award Nominee (2011)']"
11588.The_Shining,The Shining,The Shining,Stephen King,"['Horror', 'Fiction', 'Thriller', 'Classics', 'Fantasy', 'Mystery', 'Paranormal', 'Suspense', 'Novels', 'Adult']","['Wendy Torrance', 'Danny Torrance', 'Dick Halloran', 'Horace Derwent', 'Stuart Ullman', 'Albert Shockley', 'Delberg Grady', 'Watson', 'Bill Edmonds', 'Charles Grondin', 'Sylvia Hunter Derwent', 'Howard Cottrell', 'Larry Durkin', 'Jack Torrance']",659,New English Library (Hodder & Stoughton),01/28/77,"['Locus Award Nominee for Best Fantasy Novel (1978)', 'Gandalf Award Nominee (1978)']"
24583.The_Adventures_of_Tom_Sawyer,The Adventures of Tom Sawyer,Adventures of Tom and Huck,Mark Twain,"['Classics', 'Fiction', 'Adventure', 'Young Adult', 'Historical Fiction', 'Literature', 'Childrens', 'School', 'Novels', 'American']","['Huckleberry Finn', 'Tom Sawyer']",244,Penguin Classics,10/28/76,['Lewis Carroll Shelf Award (1967)']
113436.Eragon,Eragon,The Inheritance Cycle,Christopher Paolini,"['Fantasy', 'Young Adult', 'Fiction', 'Dragons', 'Adventure', 'Magic', 'High Fantasy', 'Science Fiction Fantasy', 'Young Adult Fantasy', 'Childrens']","['Eragon (The Inheritance Cycle)', 'Saphira (The Inheritance Cycle)', 'Roran Garrowsson', 'Arya (The Inheritance Cycle)', 'Brom (The Inheritance Cycle)', 'Orik (The Inheritance Cycle)', 'Horst (The Inheritance Cycle)', 'Murtagh (The Inheritance Cycle)', 'Solembum', 'Queen Islanzadi', 'Angela the Herbalist']",503,Alfred A. Knopf,06/28/02,"[""Book Sense Book of the Year Award for Children's Literature (2004)"", 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2007)', 'South Carolina Book Award for Young Adult Book (2006)', 'Grand Canyon Reader Award for Teen Book (2006)', 'Nene Award (2006)', 'Colorado Blue Spruce Young Adult Book Award (2005)', ""Pennsylvania Young Readers' Choice Award for Grades 6-8 (2005)"", 'Rhode Island Teen Book Award (2005)', 'Beehive Book Award for Young Adult Book (2005)', 'Evergreen Teen Book Award (2006)', 'Golden Archer Award for Middle/Junior High (2006)', 'Soaring Eagle Book Award (2005)', ""Pacific Northwest Library Association Young Reader's Choice Award for Intermediate (2006)"", 'Iowa Teen Award (2008)', 'Eliot Rosewater Indiana High School Book Award (2006)', 'Literaturpreis der Jury der jungen Leser for Kinderbuch (2005)', ""Virginia Reader's Choice for Middle (2005)"", 'Missouri Gateway Readers Award for Young Adult (2006)', 'Oklahoma Sequoyah Award for YA (2006)', ""Rebecca Caudill Young Readers' Book Award (2006)""]"
6310.Charlie_and_the_Chocolate_Factory,Charlie and the Chocolate Factory,Charlie Bucket,Roald Dahl,"['Childrens', 'Fantasy', 'Fiction', 'Classics', 'Young Adult', 'Middle Grade', 'Humor', 'Adventure', 'Juvenile', 'Novels']","['Charlie Bucket', 'Willy Wonka', 'Violet Beauregarde', 'Veruca Salt', 'Augustus Gloop', 'Mike Teavee', 'Grandpa Joe']",176,Puffin Books,01/17/64,"['Books I Loved Best Yearly (BILBY) Awards for Read Aloud (1992)', ""North Dakota Children's Choice Award (1985)""]"
70401.On_the_Road,On the Road,Duluoz Legend,Jack Kerouac,"['Classics', 'Fiction', 'Travel', 'Literature', 'Novels', 'American', 'Adventure', '20th Century', 'Unfinished', 'Modern Classics']",[],307,Penguin Books,09/05/57,['Grammy Award Nominee for Best Spoken Word Album (2001)']
99561.Looking_for_Alaska,Looking for Alaska,nan,John Green,"['Young Adult', 'Fiction', 'Contemporary', 'Romance', 'Realistic Fiction', 'Coming Of Age', 'Teen', 'Mystery', 'Young Adult Contemporary', 'High School']","['Miles Halter', 'Alaska Young', 'Chip Martin', 'Takumi Hikohito', 'Lara Buterskaya']",221,Speak,03/03/05,"['Los Angeles Times Book Prize Nominee for Young Adult Fiction (2005)', 'Michael L. Printz Award (2006)', 'Rhode Island Teen Book Award Nominee (2007)', 'Michigan Library Association Thumbs Up! Award Nominee (2006)', 'Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2008)', 'The Inky Awards for Silver Inky (2007)', 'Lincoln Award Nominee (2009)', 'Bronzener Lufti (2007)', 'Green Mountain Book Award (2008)', 'The Inky Awards Shortlist for Silver Inky (2007)', 'Alabama Author Award for Young Adult (2006)', 'Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera independiente (2014)']"
1232.The_Shadow_of_the_Wind,The Shadow of the Wind,El cementerio de los libros olvidados,Carlos Ruiz Zafón,"['Fiction', 'Historical Fiction', 'Mystery', 'Fantasy', 'Books About Books', 'Historical', 'Spain', 'Spanish Literature', 'Gothic', 'Magical Realism']","['Daniel Sempere', 'Fermín Romero de Torres', 'Julián Carax', 'Miquel Moliner', 'Nuria Monfort', 'Francisco Javier Fumero', 'Beatriz Aguilar', 'Jorge Aldaya', 'Penélope Aldaya', 'Antoni Fortuny', 'Clara Barceló', 'Monsieur Darcieu', 'Viçenteta', 'Teniente Palacios', 'Doña Yvonne Sotoceballos', 'Jacinta Coronado', 'Gustavo Barceló', 'Bernarda', 'Fernando Ramos', 'Sophie Carax', 'Candide (Voltaire)', 'Isaac Monfort', 'Anacleto']",487,Penguin Books,05/28/01,"['Barry Award for Best First Novel (2005)', 'Gumshoe Award Nominee for Best European Crime Novel (2005)', 'Borders Original Voices Award for Fiction (2004)', 'Dilys Award Nominee (2005)', ""Humo's Gouden Bladwijzer (2006)"", 'Prix du Meilleur Livre Étranger for Roman (2004)', 'Prix des libraires du Québec for Lauréats hors Québec (2005)', 'One Book One San Diego (2015)', 'Premi Llibreter de narrativa Nominee (2002)']"
1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,The Curious Incident of the Dog in the Night-Time,nan,Mark Haddon,"['Fiction', 'Mystery', 'Young Adult', 'Contemporary', 'Novels', 'Classics', 'Psychology', 'Literature', 'Realistic Fiction', 'Adult Fiction']","['Christopher John Francis Boone', 'Toby', 'Siobhan', 'Mr. Jeavons', 'Mrs. Alexander', 'Ed Boone', 'Judy Boone', 'Mr. Roger Shears', 'Mrs. Eileen Shears', 'Rhodri', 'Wellington']",226,Vintage,07/31/03,"['Booker Prize Nominee for Longlist (2003)', 'James Tait Black Memorial Prize Nominee for Fiction (2003)', 'Whitbread Award for Novel and Book of the Year (2003)', ""Guardian Children's Fiction Prize (2003)"", 'McKitterick Prize (2004)', 'Los Angeles Times Book Prize for Art Seidenbaum Award for First Fiction (2003)', 'Exclusive Books Boeke Prize (2004)', 'ALA Alex Award (2004)', 'Zilveren Zoen (2004)', 'Lincoln Award Nominee (2006)', ""Commonwealth Writers' Prize for Best First Book Overall (2004)"", 'North East Teenage Book Award Nominee (2004)', 'Carnegie Medal Nominee (2003)', ""Dolly Gray Children's Literature Award (2004)"", 'Premi Protagonista Jove for Categoria 15-16 anys (2006)']"
4948.The_Very_Hungry_Caterpillar,The Very Hungry Caterpillar,nan,Eric Carle,"['Picture Books', 'Childrens', 'Fiction', 'Classics', 'Animals', 'Food', 'Counting', 'Storytime', 'Kids', 'Mathematics']",[],26,Puffin Books,06/03/69,['California Young Readers Medal Nominee for Primary (1976)']
9717.The_Unbearable_Lightness_of_Being,The Unbearable Lightness of Being,nan,Milan Kundera,"['Fiction', 'Classics', 'Philosophy', 'Literature', 'Novels', 'Czech Literature', 'Romance', 'Contemporary', 'Literary Fiction', '20th Century']","['Sabine', 'Franz', 'Tomáš', 'Tereza', 'Karenin']",320,Harper Perennial,10/28/84,['Los Angeles Times Book Prize for Fiction (1984)']
119073.The_Name_of_the_Rose,The Name of the Rose,nan,Umberto Eco,"['Fiction', 'Historical Fiction', 'Mystery', 'Classics', 'Historical', 'Literature', 'Crime', 'Italian Literature', 'Italy', 'Novels']","['William of Baskerville', 'Adso of Melk', 'Abo of Fossanova', 'Severinus of Sankt Wendel', 'Malachi of Hildesheim', 'Berengar of Arundel', 'Venantius of Salvemec', 'Jorge of Burgos', 'Remigio of Varagine', 'Salvatore of Montferrat', 'Nicholas of Morimondo', 'Ubertino of Casale', 'Bernard Gui', 'Benno of Uppsala', 'Alinardo of Grottaferrata', 'Michael of Cesena']",536,Harvest Books,10/28/80,"['إمبيرتو', 'Premio Strega (1981)', 'Los Angeles Times Book Prize Nominee for Fiction (1983)', 'Edgar Award Nominee for Best Novel (1984)', 'PEN Translation Prize for William Weaver (1984)', 'Premio Anghiari (1981)', ""Premio Il Libro dell'anno (1981)"", 'Prix Médicis Etranger (1982)', 'このミステリーがすごい！ for Best Translated Mystery Novel of the Year in Japan (1991)']"
10365.Where_the_Red_Fern_Grows,Where the Red Fern Grows,nan,Wilson Rawls,"['Classics', 'Fiction', 'Young Adult', 'Childrens', 'Animals', 'Historical Fiction', 'Middle Grade', 'School', 'Realistic Fiction', 'Read For School']","['Billy Colman', 'Old Dan', 'Little Ann']",272,Yearling,10/28/61,"[""Massachusetts Children's Book Award (1987)"", ""North Dakota Children's Choice Award (1981)""]"
15881.Harry_Potter_and_the_Chamber_of_Secrets,Harry Potter and the Chamber of Secrets,Harry Potter,J.K. Rowling,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Middle Grade', 'Adventure', 'Audiobook', 'Classics', 'Science Fiction Fantasy']","['Draco Malfoy', 'Ron Weasley', 'Petunia Dursley', 'Vernon Dursley', 'Dudley Dursley', 'Severus Snape', 'Rubeus Hagrid', 'Lord Voldemort', 'Minerva McGonagall', 'Neville Longbottom', 'Fred Weasley', 'George Weasley', 'Percy Weasley', 'Ginny Weasley', 'Colin Creevey', 'Filius Flitwick', 'Gilderoy Lockhart', 'Lucius Malfoy', 'Pomona Sprout', 'Arthur Weasley', 'Molly Weasley', 'Cornelius Fudge', 'Poppy Pomfrey', 'Oliver Wood', 'Dobby', 'Parvati Patil', 'Dean Thomas', 'James Potter', 'Seamus Finnigan', 'Rolanda Hooch', 'Katie Bell', 'Albus Dumbledore', 'Harry Potter', 'Hermione Granger']",341,Arthur A. Levine Books / Scholastic Inc.,07/02/98,"[""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'British Book Award (1999)', 'Prijs van de Jonge Jury (2002)', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2006)', 'Colorado Blue Spruce Young Adult Book Award (2008)', 'Golden Archer Award for Middle/Junior High (2008)', 'Nestlé Smarties Book Prize for 9–11 years (1998)']"
168642.In_Cold_Blood,In Cold Blood,nan,Truman Capote,"['Nonfiction', 'Classics', 'True Crime', 'Crime', 'Mystery', 'History', 'Literature', 'Thriller', 'American', 'Biography']","['Perry Edward Smith', 'Richard Hickock', 'Herb Clutter', 'Bonnie Clutter', 'Nancy Clutter', 'Kenyon Clutter', 'Alvin Dewey']",343,Vintage,10/28/65,['Edgar Award for Best Fact Crime (1966)']
36236124-fight-club,Fight Club,nan,Chuck Palahniuk,"['Fiction', 'Contemporary', 'Classics', 'Thriller', 'Novels', 'Mystery', 'Adult', 'Literature', 'American', 'Adult Fiction']","['The Narrator', 'Tyler Durden', 'Marla Singer']",218,W. W. Norton Company,10/28/96,['Oregon Book Award for Fiction (1997)']
3431.The_Five_People_You_Meet_in_Heaven,The Five People You Meet in Heaven,The Five People You Meet in Heaven,Mitch Albom,"['Fiction', 'Inspirational', 'Contemporary', 'Fantasy', 'Adult', 'Spirituality', 'Classics', 'Adult Fiction', 'Philosophy', 'Novels']","['Eddie', 'Marguerite', 'Tala', 'Blue Man', 'Steve Rogers', 'Ruby']",196,Hyperion,09/01/03,['Lincoln Award Nominee (2008)']
233093.The_Cat_in_the_Hat,The Cat in the Hat,The Cat in the Hat,Dr. Seuss,"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Fantasy', 'Humor', 'Animals', 'Kids', 'Cats']",['The Cat in the Hat'],61,Random House Books for Young Readers,03/12/57,"['Books I Loved Best Yearly (BILBY) Awards for Early Readers (2004, 2012) (2004)']"
30165203-american-gods,American Gods,American Gods,Neil Gaiman,"['Fantasy', 'Fiction', 'Urban Fantasy', 'Mythology', 'Audiobook', 'Science Fiction', 'Science Fiction Fantasy', 'Adult', 'Contemporary', 'Novels']","['Shadow Moon', 'Mr. Wednesday', 'Spider', 'Laura Moon', 'Hinzelmann', 'Easter', 'Whiskey Jack', 'Loki', 'Odin', 'Mr. Ibis', 'Samantha Black Crow', 'Bilquis', 'Media', 'Mad Sweeney', 'Czernobog', 'Mr. Jacquel', 'Mr. Nancy', 'Chad Mulligan', 'Margaret Black Crow', 'Mr. Town', 'Mr. World', 'Technical Boy']",635,William Morrow,06/19/01,"['Bram Stoker Award for Best Novel (2001)', 'Hugo Award for Best Novel (2002)', 'Nebula Award for Best Novel (2002)', 'Locus Award for Best Fantasy Novel (2002)', 'International Horror Guild Award Nominee for Best Novel (2001)', 'World Fantasy Award Nominee for Best Novel (2002)', 'SFX Award for Best Novel (2002)', 'Geffen Award (2003)', 'Mythopoeic Fantasy Award Nominee for Adult Literature (2002)', 'British Science Fiction Association Award Nominee for Best Novel (2001)', ""Grand Prix de l'Imaginaire Nominee for Roman étranger (2003)"", 'Prix Bob Morane for roman traduit (2003)', 'British Fantasy Award Nominee for Best Novel (August Derlith Fantasy Award) (2002)']"
256008.Lonesome_Dove,Lonesome Dove,Lonesome Dove,Larry McMurtry,"['Fiction', 'Historical Fiction', 'Westerns', 'Classics', 'Historical', 'Adventure', 'Novels', 'Literature', 'Audiobook', 'American']","['Captain Woodrow Call', 'Augustus ""Gus"" McCrae', 'Joshua Deets', 'Newt Dobbs', 'Pea Eye Parker', 'Lorena Wood']",960,Pocket Books,10/28/85,"['Pulitzer Prize for Fiction (1986)', 'PEN/Faulkner Award for Fiction Nominee (1986)', 'National Book Critics Circle Award Nominee for Fiction (1985)', 'Spur Award for Best Western Novel (1985)']"
343.Perfume,Perfume: The Story of a Murderer,nan,Patrick Süskind,"['Fiction', 'Classics', 'Historical Fiction', 'Horror', 'Mystery', 'Thriller', 'Crime', 'Historical', 'German Literature', 'Novels']","['Jean-Baptiste Grenouille', 'Giuseppe Baldini', 'Madame Gaillard', 'Jeanne Bussie', 'Father Terrier', 'Grimal', 'The Plum Girl', 'Chénier', 'Marquis de Taillade-Espinasse', 'Madame Arnulfi', 'Dominique Druot', 'Antoine Richis', 'Laure Richis']",263,Penguin Books,10/28/85,"['World Fantasy Award for Best Novel (1987)', 'PEN Translation Prize for John E. Woods (1987)']"
38709.Holes,Holes,Holes,Louis Sachar,"['Young Adult', 'Fiction', 'Childrens', 'Middle Grade', 'Realistic Fiction', 'Classics', 'Mystery', 'Adventure', 'School', 'Contemporary']",['Stanley Yelnats'],233,Scholastic,08/20/98,"['Newbery Medal (1999)', ""National Book Award for Young People's Literature (1998)"", ""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2001)"", 'Grand Canyon Reader Award for Teen Book (2001)', 'Nene Award (2001)', 'Maryland Black-Eyed Susan Book Award for Grade 6-9 (2001)', ""Massachusetts Children's Book Award (2001)"", ""Flicker Tale Children's Book Award (2000)"", ""Pennsylvania Young Readers' Choice Award for Grades 6-8 (2000)"", ""Dorothy Canfield Fisher Children's Book Award (2000)"", 'Evergreen Teen Book Award (2001)', 'Soaring Eagle Book Award (2003)', 'Sunshine State Young Readers Award for Grades 3-5 and Grades 6-8 (2002)', ""Pacific Northwest Library Association Young Reader's Choice Award for Junior (2001)"", 'Zilveren Zoen (2000)', 'Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2001)', 'Boston Globe-Horn Book Award for Fiction (1999)', 'New Mexico Land of Enchantment Award for Young Adult (2001)', ""William Allen White Children's Book Award (2001)"", 'Oklahoma Sequoyah Award for Children and YA (2001)', ""Rebecca Caudill Young Readers' Book Award (2002)"", 'Premi Protagonista Jove for Categoria 14-15 anys (2000)']"
100915.The_Lion_the_Witch_and_the_Wardrobe,"The Lion, the Witch and the Wardrobe",The Chronicles of Narnia (Publication Order),C.S. Lewis,"['Fantasy', 'Classics', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'Middle Grade', 'Christian', 'Magic', 'Christian Fiction']","['Aslan', 'Lucy Pevensie', 'Edmund Pevensie', 'Mr. Tumnus', 'Peter Pevensie', 'Susan Pevensie', 'Jadis', 'Mr. & Mrs. Beaver']",206,HarperCollins Publishers,10/16/50,"['Lewis Carroll Shelf Award (1962)', ""The Keith Barker Millennium Children's Book Awards 'Children's Book of the Century'"", 'Retro Hugo Award Nominee for Best Novel (2001)']"
472331.Watchmen,Watchmen,Watchmen-12,Alan Moore,"['Graphic Novels', 'Comics', 'Fiction', 'Science Fiction', 'Fantasy', 'Graphic Novels Comics', 'Comic Book', 'Classics', 'Superheroes', 'Dystopia']","['Dr. Manhattan', 'Rorschach', 'Hollis Mason', 'Daniel Dreiberg', 'Sally Jupiter', 'Laurel Jupiter', 'Adrian Veidt', 'Edward Blake']",416,DC Comics,09/08/87,"['Hugo Award for Other Forms (1988)', 'Locus Award for Best Non-Fiction/Art (1988)', 'Harvey Awards for Best Writer (for Alan Moore), Best Artist or Penciller (for Dave Gibbons), Best Continuing or Limited Series, Best Single Issue (""Watchmen #9""), Best Graphic Album, Best Colorist (for John Higgins) & Special Award for Excellence in Production  (1988)', ""Prix du Festival d'Angoulême for Alph-art du meilleur album étranger (1989)"", 'Urhunden Prize for Foreign Album (1992)', 'Will Eisner Comic Industry Awards for Best Archival Collection/Project–Comic Books (in 2006 awards, for Absolute edition), Best Finite Series, Best Graphic Album, Best Writer (for Alan Moore), Best Writer/Artist (single or team) (for Alan Moore & Dave Gibbons) (1988)', 'IGN Award for Best Collection (2005)']"
830502.It,It,nan,Stephen King,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Audiobook', 'Mystery', 'Adult', 'Paranormal', 'Classics', 'Novels']","['Dick Halloran', 'Pennywise the Dancing Clown', 'Bill Denbrough', 'Richie Tozier', 'Eddie Kaspbrak', 'Stan Uris', 'Ben Hanscom', 'Beverly Marsh', 'Mike Hanlon', 'Frank Dodd', 'Henry Bowers', 'Audra Phillips', 'George Denbrough', 'Adrian Mellon', 'Patrick Hockstetter', 'American Law Enforcement']",1116,New English Library,09/15/86,"['Locus Award Nominee for Best Fantasy Novel (1987)', 'World Fantasy Award Nominee for Best Novel (1987)', 'Colorado Blue Spruce Young Adult Book Award (1994)', 'British Fantasy Award for Best Novel (1987)']"
6656.The_Divine_Comedy,The Divine Comedy,La Divina Commedia-3,Dante Alighieri,"['Classics', 'Poetry', 'Fiction', 'Literature', 'Religion', 'Philosophy', 'Fantasy', 'Italian Literature', 'Italy', 'Classic Literature']","['Virgilio (Publius Vergilius Maro)', 'Lucifer', 'Odysseus', 'Achilles (Greek hero)', 'Dante Alighieri', 'Gaius Cassius Longinus', 'Brutus', 'Attila the Hun', 'Frederick II, Holy Roman Emperor', 'Cleopatra', 'Trajan (emperor)', 'Cerberus', 'Roland', 'Dido of Carthage', 'Julius Caesar', 'Charon (mythology)', 'Beatrice (Dante)', 'Francesca da Rimini', 'Saul (biblical king)', 'Judas Iscariot', 'Mary (mother of Jesus)']",798,Everyman's Library,10/28/20,"['Prêmio Jabuti for Tradução (2000)', 'Deutsch-Italienischer Übersetzerpreis (2013)', 'Премія імені Максима Рильського (1978)']"
355697.All_Quiet_on_the_Western_Front,All Quiet on the Western Front,All Quiet on the Western Front/The Road Back,Erich Maria Remarque,"['Classics', 'Fiction', 'Historical Fiction', 'War', 'Historical', 'Literature', 'School', 'German Literature', 'World War I', 'Novels']","['Paul Bäumer', 'Albert Kropp', 'Stanislaus Katczinsky', 'Haie Westhus', 'Tjaden', 'Fredrich Müller']",296,Ballantine Books,10/28/29,['Luisterboek Award Nominee (2015)']
5907.The_Hobbit_or_There_and_Back_Again,"The Hobbit, or There and Back Again",The Hobbit,J.R.R. Tolkien,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Young Adult', 'Science Fiction Fantasy', 'High Fantasy', 'Childrens', 'Epic Fantasy', 'Novels']","['Gandalf', 'Bilbo Baggins', 'Thorin Oakenshield', 'Smaug', 'Elrond Half-elven', 'Gollum', 'Dwalin', 'Balin', 'Kili', 'Fili', 'Dori', 'Ori', 'Nori', 'Oin', 'Gloin', 'Bifur', 'Bofur', 'Bombur', 'Beorn', 'Bard the Bowman']",366,Houghton Mifflin,09/21/37,"['Keith Barker Millennium Book Award', 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (1997)', 'Mythopoeic Scholarship Award for Inklings Studies (1990)']"
9712.Love_in_the_Time_of_Cholera,Love in the Time of Cholera,nan,Gabriel García Márquez,"['Fiction', 'Classics', 'Historical Fiction', 'Romance', 'Magical Realism', 'Literature', 'Novels', 'Spanish Literature', 'Literary Fiction', 'Historical']","['Fermina Daza', 'Florentino Ariza', 'Juvenal Urbino', 'Lorenzo Daza', 'Aunt Escolástica', 'Hildebranda Sánchez', 'Trànsito Ariza', 'Leona Cassiani', 'América Vicuna']",348,Vintage International,10/28/85,"['Audie Award', 'Los Angeles Times Book Prize for Fiction (1988)']"
35545737-a-walk-to-remember,A Walk to Remember,nan,Nicholas Sparks,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Young Adult', 'Adult', 'Adult Fiction', 'Drama', 'Contemporary Romance', 'Love']","['Landon Carter', 'Jamie Sullivan']",215,Grand Central Publishing,10/01/99,['Iowa High School Book Award (2004)']
6867.Atonement,Atonement,nan,Ian McEwan,"['Fiction', 'Historical Fiction', 'Romance', 'Classics', 'Historical', 'War', 'Literary Fiction', 'Contemporary', 'Literature', 'Novels']","['Briony Tallis', 'Emily Tallis', 'Cecilia Tallis', 'Leon Tallis', 'Lola Quincey', 'Jackson Quincey', 'Pierrot Quincey', 'Paul Marshall', 'Robbie Turner']",351,Anchor Books,10/28/01,"['Booker Prize Nominee (2001)', 'James Tait Black Memorial Prize Nominee for Fiction (2001)', 'Whitbread Award Nominee for Novel (2001)', 'WH Smith Literary Award (2002)', 'Los Angeles Times Book Prize for Fiction (2002)', 'Exclusive Books Boeke Prize (2002)', 'National Book Critics Circle Award for Fiction (2002)', ""Commonwealth Writers' Prize for Best Book in South Asia and Europe (2002)"", 'Deutscher Bücherpreis for Internationale Belletristik (2003)', 'Premi Llibreter de narrativa Nominee (2003)', 'International Dublin Literary Award Nominee (2003)']"
19501.Eat_Pray_Love,"Eat, Pray, Love",nan,Elizabeth Gilbert,"['Nonfiction', 'Memoir', 'Travel', 'Biography', 'Chick Lit', 'Romance', 'Spirituality', 'Contemporary', 'Biography Memoir', 'Autobiography']","['Liz Gilbert', 'Felipe', 'Richard from Texas', 'Wayan']",368,Riverhead Books,02/16/06,['Puddly Award for Nonfiction (2008)']
37415.Their_Eyes_Were_Watching_God,Their Eyes Were Watching God,nan,Zora Neale Hurston,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'African American', 'Literature', 'Novels', 'Feminism', 'Read For School', 'High School']","['Eleanor', 'Sam Watson', 'Shelby', 'Janie Starks', 'Pheoby Watson', 'Nanny', 'Leafy', 'Johnny Taylor', 'Logan Killicks', 'Jody Starks', 'Tea Cake', 'Pearl Stone', 'Mrs. Sumpkins', 'Lulu Moss', ""Mis' Washburn"", 'Mr. Washburn', 'Miss Nellie', 'Mayrella']",219,Amistad,10/28/37,['Audie Award for Solo Narration - Female (2001)']
236093.The_Wonderful_Wizard_of_Oz,The Wonderful Wizard of Oz,Oz,L. Frank Baum,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Adventure', 'Audiobook', 'Middle Grade', 'Magic', 'Literature']","['Uncle Henry', 'Dorothy Gale', 'Tin Woodman', 'Scarecrow', 'Cowardly Lion', 'Wicked Witch of the West', 'Wizard of Oz', 'Toto', 'Aunt Em', 'Good Witch of the North', 'Wicked Witch of the East', 'Boq', 'Stork', 'Queen of the Field Mice', 'Guardian of the Gates', 'Soldier with the Green Whiskers', 'Jellia Jamb', 'Gayelette', 'Quelala', 'Glinda', 'Munchkins', 'Kalidahs', 'Winged Monkeys', 'Winkies', 'Hammer-Heads', 'Uncle Henry, Dorothy Gale, Tin Woodman, Scarecrow, Cowardly Lion, Wicked Witch of the West, Wizard of Oz, Toto, Aunt Em, Good Wi']",154,Penguin,05/17/00,['Lewis Carroll Shelf Award (1968)']
7784.The_Lorax,The Lorax,nan,Dr. Seuss,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Environment', 'Young Adult', 'Kids', 'Juvenile']","['Lorax', 'Swomee-Swans', 'Brown Bar-ba-loots', 'Humming-Fishes']",72,Random House Books for Young Readers,10/28/71,"['California Young Readers Medal Nominee for Primary (1976)', 'Green Prize for Sustainable Literature']"
